name,total_number,fill_f_A,fill_f_p,l1_norm
SN2007cg,2891,0.0692,0.5679,1.6
SN2005be,6,0.0001,0.0909,nan
PTF14aje,80,0.0008,0.0815,16.8
SN2006et,243,0.0044,0.0232,4.2
FCC312_center,34764,0.3986,0.6615,0.4
SN2004ff,3025,0.0498,0.2346,3.6
SN2008cc,2,0.0000,0.0000,nan
ASASSN13ch,4172,0.0708,0.4663,0.8
SN2006ef,445,0.0056,0.1623,9.1
SN2005M,13170,0.2240,0.8088,2.7
SN2006hb,5,0.0001,0.1000,nan
SN2006D,5306,0.0686,0.6803,2.0
ASASSN13cj,3,0.0001,0.0056,nan
SN2007bc,1829,0.0179,0.2911,7.7
SN2008cf,1054,0.0145,0.3146,1.6
NGC3351,5553,0.0594,0.1727,1.3
SN1970A,337,0.0034,0.0103,1.1
PGC3853,21610,0.1950,0.3239,1.4
SN2008hv_2,1,0.0000,0.0000,nan
SN2007S,4143,0.0775,0.4894,2.1
Gaia17chn,4674,0.0786,0.5829,2.7
SN2006be_1,7044,0.1124,0.5740,1.5
SN2006E_1,23,0.0005,0.2771,18.1
SN2005na,1643,0.0261,0.1940,5.1
SN2007fb,5384,0.0678,0.3201,2.1
SN2007so,5,0.0001,0.0847,nan
SN2006ej,245,0.0029,0.1566,7.8
SN2008ff,3979,0.0589,0.2841,1.2
SN2008ae,9847,0.1138,0.6741,1.3
SN2008cg,529,0.0078,0.3344,4.0
SN2008O,6,0.0001,0.1500,nan
NGC7162,30172,0.3135,0.4979,1.8
SN2005ke_2,26,0.0003,0.0053,13.5
PS1-13eao_b,8,0.0002,0.0126,12.7
SN1998bw,13533,0.1778,0.4477,0.6
SN2005hk,12873,0.1399,0.3485,0.9
SN2008ia,15,0.0002,0.0728,11.3
SN2008fl,2,0.0000,0.0000,nan
HCG40a,116,0.0013,0.1013,8.9
NGC1705,26797,0.3661,0.5385,1.6
SN2006ca,14141,0.1654,0.5182,0.9
SN2005cf,13178,0.2153,0.6347,1.0
SN2008ar,625,0.0075,0.3503,6.8
SN2007fs_1,2622,0.0338,0.3924,1.6
SN2008gg,10209,0.1050,0.5244,2.4
SN2009ku,443,0.0053,0.5986,2.1
NGC6926-S,35253,0.3812,0.6019,0.8
SN2008fp_2,271,0.0046,0.0267,2.4
PS1-13eao,5336,0.1016,0.2893,1.3
SN2007ai,20038,0.2377,0.5496,0.7
SN2007gj_1,14940,0.1525,0.3074,0.8
IC1553,38903,0.4019,0.7369,1.5
NGC7496,28411,0.2809,0.3680,1.3
SN2008bq,5064,0.0632,0.3407,1.2
NGC5806,21140,0.1562,0.2814,0.8
SN2011hb_b,868,0.0384,0.1851,1.3
AM1957-471,34482,0.1780,0.7301,1.8
IC4296,12,0.0001,0.0511,nan
NGC289,31556,0.3146,0.3488,1.1
SN2006cm,5911,0.0769,0.3186,0.4
SN2005lu,12334,0.1684,0.5774,1.0
SN2012fk_b,5,0.0001,0.2381,nan
SN2006bh,8571,0.0915,0.3040,1.6
SN2007ca,17056,0.2437,0.6825,1.9
