name,FWHM,sigma_FWHM
NGC_P1,1.176,0.375
NGFS033807-,1.352,0.276
PGC003342,1.041,0.314
PGC004500,1.158,0.411
PGC0047590,1.04,0.305
PGC007748,0.839,0.223
PGC015524,0.799,0.23
PGC018236,0.983,0.208
PGC046832,0.882,0.194
PGC047154,0.775,0.222
PGC047177,0.875,0.15
PGC047467,0.766,0.158
PGC065588,2.266,1.06
PGC097958,1.096,0.406
PGC098792,0.558,0.044
PGC099188,1.111,0.352
PGC099522,0.901,0.162
PGC28308,0.684,0.05
PGC29334,0.609,0.169
PGC30591,0.97,0.144
PGC3853,1.127,0.589
PS1-13eao_b,2.57,0.901
PS1-13eao,2.57,0.901
PS1-14ra,2.562,0.0
PS15aez,1.03,0.146
PS15mb,0.993,0.048
PS15mt,1.683,0.23
PSNJ07250042+2347030,0.842,0.125
PSNJ10292799+2200468,1.254,0.119
PSNJ2241147,1.097,0.124
PTF11qnr,1.124,0.063
PTF11qpc,0.911,0.133
PTF11ra_1,1.057,0.154
PTF13asv,1.513,0.135
PTF14aje,1.01,0.098
S555,1.041,0.085
SCG0018_fieldA3,4.323,2.204
SCG0018_fieldB1,1.8,0.864
SCG0018_fieldC,1.002,0.051
SDSS094954+003658,1.137,0.275
SDSSJ0959+1259_src3,1.209,0.168
SDSSJ0959+1259_src4,0.586,0.03
SDSSJ110923.1+105003,0.571,0.026
SDSSJ111128.3+065425,1.133,0.076
SDSSJ142710.8+050805,3.192,1.704
SDSSJ154609.7+065353,0.629,0.066
SN1970A,0.732,0.072
SN1978G,1.033,0.238
SN1985G,0.806,0.031
SN1990Q,0.412,0.076
SN1991bj,1.81,0.194
SN1994D,0.852,0.226
SN1997dn,0.752,0.02
SN1997X,0.61,0.028
SN1998bw,0.832,0.059
SN1999br,0.66,0.067
SN2000cl,0.71,0.024
SN2001cp_1,0.474,0.039
SN2001da,1.294,0.284
SN2001fv,1.136,0.076
SN2002cr,0.899,0.263
SN2002cx,2.565,0.568
SN2003hg,1.746,0.185
SN2003ic,0.609,0.09
SN2004cs,1.083,0.069
SN2004ef,1.495,0.1
SN2004ey,1.499,0.118
SN2004ff,1.067,0.04
SN2004gs,1.216,0.076
SN2005al,1.903,0.244
SN2005be,0.962,0.281
SN2005bg,0.824,0.036
SN2005bs,0.764,0.044
SN2005cf,2.507,1.084
SN2005gn,1.216,0.174
SN2005hc,0.877,0.034
SN2005hk,0.932,0.127
SN2005iq,1.092,0.111
SN2005ke_2,0.948,0.04
SN2005lu,2.233,0.956
SN2005lw,2.677,0.727
SN2005M,1.612,0.195
SN2005na,0.76,0.058
SN2005Z,1.688,0.173
SN2006be_1,2.189,0.298
SN2006bh,1.573,0.244
SN2006br,0.863,0.056
SN2006ca,0.71,0.076
SN2006cm,1.445,0.222
SN2006cu,1.134,0.179
SN2006D,1.125,0.495
SN2006E_1,1.076,0.265
SN2006E_2,1.316,0.081
SN2006ef,1.096,0.127
SN2006ej,1.856,0.444
SN2006eq,0.809,0.031
SN2006et,1.12,0.717
SN2006hb,1.115,0.125
SN2006my,0.773,0.107
SN2006ob,1.208,0.049
SN2006os,2.215,0.908
SN2006ot,1.378,0.218
SN2007ai,0.672,0.077
SN2007as,0.766,0.021
SN2007ba,1.056,0.018
SN2007bc,0.891,0.185
SN2007ca,3.929,1.169
SN2007cg,1.245,0.597
SN2007fb,1.808,0.477
SN2007fs_1,1.087,0.086
SN2007gj_1,1.458,0.166
SN2007hj,1.111,0.071
SN2007hx,1.021,0.081
SN2007le,1.776,0.663
SN2007mm,0.638,0.016
SN2007rz,1.574,0.223
SN2007S,0.872,0.175
SN2007so,1.832,0.254
SN2007st,1.306,0.091
SN2008ae,1.155,0.193
SN2008ar,0.764,0.056
SN2008bq,0.811,0.086
SN2008cc,1.5,0.041
SN2008cf,1.103,0.038
SN2008cg,1.282,0.322
SN2008ff,1.078,0.272
SN2008fl,1.554,0.342
SN2008fp_2,1.177,0.065
SN2008fq,0.901,0.085
SN2008fu,1.448,0.07
SN2008ge,0.688,0.08
SN2008gg,0.992,0.128
SN2008ha,1.937,0.382
SN2008hj,0.607,0.034
SN2008hv_2,0.615,0.076
SN2008ia,1.049,0.158
SN2008J_2,0.554,0.032
SN2008O,0.813,0.051
SN2008V,1.861,0.858
SN2009aa,0.573,0.017
SN2009bb,0.576,0.061
SN2009D,1.09,0.087
SN2009dq,1.552,0.038
SN2009ds_1,0.856,0.08
SN2009I,1.284,0.131
SN2009ig,0.853,0.093
SN2009J,2.026,0.156
SN2009jr,1.237,0.536
SN2009K,1.397,0.275
SN2009ku,1.281,0.097
SN2009le_1,1.173,0.059
SN2009md,0.597,0.08
SN2009N,0.786,0.14
SN2010A,1.624,0.328
SN2010dl,0.999,0.027
SN2010el,1.838,0.34
SN2010ev_2,3.609,1.109
SN2010F,0.806,0.059
SN2011ce,0.869,0.059
SN2011fh,0.817,0.114
SN2011gf,1.568,0.143
SN2011hb_b,1.679,0.217
SN2011hb,1.679,0.217
SN2011iy,2.338,0.78
SN2011jm,0.688,0.312
SN2011jt,0.75,0.093
SN2012bl_1,1.115,0.134
SN2012cu_2,0.793,0.163
SN2012ec,0.776,0.084
SN2012et,2.708,0.605
SN2012fk_b,1.426,0.205
SN2012fk,1.426,0.205
SN2012fk_P1_b,1.426,0.205
SN2012fw,1.47,0.136
SN2012G_b,1.28,0.084
SN2012G,1.28,0.084
SN2012gm,1.193,0.18
SN2012G_P1_b,1.28,0.084
SN2012hd,2.507,0.481
SN2012ho,1.492,0.389
SN2012Z,0.556,0.029
SN2013aj,2.941,0.411
SN2013az,0.68,0.062
SN2013cs,1.241,0.151
SN2013fy,1.282,0.097
SN2013M,1.228,0.118
SN2014at,1.018,0.127
SN2014at_P1_b,1.018,0.127
SN2014cd,1.052,0.241
SN2014cr,1.418,0.135
SN2014dm_b,1.015,0.045
SN2014dm,1.015,0.045
SN2015H,1.07,0.23
SN2016bas,1.962,0.56
SN2016blt,1.09,0.061
SN2016ecm,0.863,0.146
SN2016iyd,1.187,0.09
SN2016iye,1.185,0.085
SN2016iyz,0.816,0.086
SN2017ahn,1.21,0.097
SN2017anf,1.036,0.231
SN2017auf,1.093,0.11
SN2017blh,1.079,0.055
SN2017bzb,1.506,0.179
SN2017caw,0.787,0.059
SN2017cjd,2.35,1.111
SN2017dch,0.653,0.071
SN2017dek,0.778,0.017
SN2017dgd,2.483,0.841
SN2017dkb,1.095,0.073
SN2017eca,1.267,0.258
SN2017eiy,0.807,0.057
